Vardas         Pavarde             p1   p2   p3   p4   p5   p6   p7   p8   p9   p10  p11  p12  p13  p14  p15  egz  
Vardas46       Pavarde46           7    4    10   4    4    6    3    2    6    9    6    3    4    9    8    8    
Vardas47       Pavarde47           10   6    10   8    9    4    7    5    1    8    7    3    8    4    4    6    
Vardas48       Pavarde48           1    7    2    9    10   5    9    7    3    2    2    1    2    6    8    10   
Vardas49       Pavarde49           6    1    2    2    1    2    3    9    2    2    4    10   5    6    10   4    
Vardas50       Pavarde50           8    7    8    3    10   8    3    1    3    5    1    9    4    4    2    7    
Vardas51       Pavarde51           1    2    9    9    10   8    8    7    5    4    10   3    6    8    9    7    
Vardas52       Pavarde52           1    3    10   2    9    2    5    6    8    6    5    3    9    4    7    3    
Vardas53       Pavarde53           4    10   1    8    7    3    5    3    5    4    9    8    6    2    4    6    
Vardas54       Pavarde54           9    6    3    5    5    2    6    10   8    7    6    9    5    8    3    8    
Vardas55       Pavarde55           2    2    7    9    1    8    2    1    3    6    10   10   3    4    1    2    
Vardas56       Pavarde56           6    8    5    2    1    10   10   8    2    3    2    10   3    6    2    7    
Vardas57       Pavarde57           4    3    7    2    3    1    7    6    8    8    4    7    2    1    8    7    
Vardas58       Pavarde58           3    7    5    2    10   7    3    10   1    1    6    4    1    5    8    6    
Vardas59       Pavarde59           3    3    1    4    8    1    2    10   6    3    9    3    4    6    5    3    
Vardas60       Pavarde60           6    2    1    7    3    7    7    6    10   2    7    7    2    8    9    7    
Vardas61       Pavarde61           4    6    5    1    3    1    5    8    2    2    2    5    3    9    4    7    
Vardas62       Pavarde62           7    2    7    5    3    10   4    7    6    4    5    6    8    2    7    5    
Vardas63       Pavarde63           3    9    9    7    8    3    7    6    8    6    7    9    2    10   6    9    
Vardas64       Pavarde64           4    8    4    9    1    10   1    1    5    10   1    9    10   4    5    8    
Vardas65       Pavarde65           1    1    5    7    2    6    3    4    8    9    4    4    1    8    5    5    
Vardas66       Pavarde66           2    3    8    7    4    6    8    4    1    1    7    9    9    4    1    5    
Vardas67       Pavarde67           1    9    8    8    5    9    9    5    4    7    7    6    1    5    6    2    
Vardas68       Pavarde68           3    7    2    5    3    8    10   3    10   3    7    10   3    4    4    6    
Vardas69       Pavarde69           4    3    8    8    5    8    6    7    6    5    6    5    10   5    1    2    
Vardas70       Pavarde70           10   6    10   8    5    2    8    7    1    6    7    4    2    5    1    5    
Vardas71       Pavarde71           9    6    4    3    7    5    10   2    3    10   3    6    7    8    3    6    
Vardas72       Pavarde72           9    3    5    3    8    5    10   6    10   9    4    4    7    4    4    9    
Vardas73       Pavarde73           7    1    5    9    2    1    7    1    5    1    8    9    9    3    6    2    
Vardas74       Pavarde74           5    9    3    2    5    10   2    8    5    3    8    6    8    1    3    4    
Vardas75       Pavarde75           5    10   7    4    2    9    3    5    1    3    5    4    3    3    2    10   
Vardas76       Pavarde76           5    6    2    5    5    3    2    3    8    8    8    9    6    5    10   7    
Vardas77       Pavarde77           10   6    2    7    2    2    8    6    6    2    5    6    2    6    1    7    
Vardas78       Pavarde78           4    9    10   6    7    7    2    9    8    1    6    3    4    1    9    6    
Vardas79       Pavarde79           10   9    2    3    4    5    6    8    6    8    4    9    4    8    4    7    
Vardas80       Pavarde80           3    3    9    9    6    5    1    3    1    9    5    6    7    1    9    7    
Vardas81       Pavarde81           8    3    3    2    4    2    6    1    1    2    10   1    10   7    1    4    
Vardas82       Pavarde82           7    6    10   7    4    5    4    2    6    1    3    9    6    7    1    5    
Vardas83       Pavarde83           10   7    8    4    7    3    4    7    8    9    9    1    4    2    5    5    
Vardas84       Pavarde84           3    9    9    3    4    1    7    10   1    3    2    2    6    6    1    4    
Vardas85       Pavarde85           10   3    5    6    4    3    3    3    6    7    3    1    7    3    5    5    
Vardas86       Pavarde86           9    8    7    3    2    2    5    3    7    1    4    7    6    6    6    8    
Vardas87       Pavarde87           1    5    2    8    4    3    4    8    5    5    4    8    9    10   9    1    
Vardas88       Pavarde88           6    10   4    1    1    9    4    6    3    6    7    1    7    1    10   8    
Vardas89       Pavarde89           2    1    8    10   4    3    3    10   7    8    2    8    1    8    5    5    
Vardas90       Pavarde90           10   10   9    9    9    1    8    7    8    7    4    9    9    3    5    10   
Vardas91       Pavarde91           7    2    9    1    4    8    4    7    1    10   4    9    10   10   3    9    
Vardas92       Pavarde92           5    6    10   4    1    7    5    2    9    1    7    9    9    9    7    6    
Vardas93       Pavarde93           3    1    5    2    8    3    3    1    9    9    6    2    8    4    3    7    
Vardas94       Pavarde94           8    3    9    3    6    9    7    6    3    2    9    7    6    3    1    3    
Vardas95       Pavarde95           10   2    10   4    9    8    8    9    8    10   5    1    6    7    10   7    
Vardas96       Pavarde96           8    4    10   8    7    7    3    1    5    5    6    1    3    6    1    5    
Vardas97       Pavarde97           7    6    1    4    3    8    2    2    7    6    9    7    4    7    3    4    
Vardas98       Pavarde98           5    7    8    9    1    8    3    10   1    2    7    3    1    3    8    7    
Vardas99       Pavarde99           10   2    10   9    1    3    3    2    9    4    3    2    7    7    4    2    
Vardas100      Pavarde100          7    10   7    10   10   3    8    3    4    8    2    10   9    3    2    5    
Vardas101      Pavarde101          4    6    9    8    10   8    7    5    7    3    5    10   9    2    4    3    
Vardas102      Pavarde102          5    1    6    6    7    8    5    8    7    2    2    9    4    8    10   3    
Vardas103      Pavarde103          6    7    7    10   9    8    7    7    9    9    2    4    1    10   9    9    
Vardas104      Pavarde104          1    2    6    9    2    8    6    4    1    8    3    10   9    2    2    8    
Vardas105      Pavarde105          10   9    10   10   3    1    1    5    4    2    6    8    8    2    3    5    
Vardas106      Pavarde106          10   4    5    1    8    6    1    7    9    9    8    1    5    3    8    10   
Vardas107      Pavarde107          9    3    8    2    6    2    5    5    8    7    10   2    9    1    2    5    
Vardas108      Pavarde108          7    6    9    3    7    4    6    1    10   1    5    8    2    9    3    9    
Vardas109      Pavarde109          3    6    1    4    7    10   9    5    3    1    6    5    7    3    6    5    
Vardas110      Pavarde110          3    7    6    10   3    7    5    1    3    7    5    6    1    4    8    8    
Vardas111      Pavarde111          7    4    3    4    4    5    4    8    2    10   9    9    8    7    5    6    
Vardas112      Pavarde112          9    10   10   2    6    4    5    1    5    8    4    8    1    3    3    10   
Vardas113      Pavarde113          9    2    5    1    2    7    2    5    9    9    7    8    5    6    10   5    
Vardas114      Pavarde114          10   9    2    9    5    5    3    7    5    8    5    10   9    7    1    5    
Vardas115      Pavarde115          10   9    4    3    3    10   7    4    10   9    8    7    2    4    5    8    
Vardas116      Pavarde116          1    2    1    6    4    7    3    10   9    2    7    6    4    3    6    1    
Vardas117      Pavarde117          7    9    8    8    6    7    10   1    9    2    2    4    6    10   3    1    
Vardas118      Pavarde118          2    9    9    5    7    5    2    4    2    5    5    2    10   7    4    8    
Vardas119      Pavarde119          9    2    4    7    4    10   7    6    9    7    9    10   5    10   5    7    
Vardas120      Pavarde120          4    7    1    4    1    9    4    6    7    3    2    4    4    6    9    10   
Vardas121      Pavarde121          3    1    4    9    2    3    8    9    6    5    4    5    10   5    3    6    
Vardas122      Pavarde122          3    7    3    5    8    3    3    10   1    5    6    9    8    10   5    8    
Vardas123      Pavarde123          2    1    6    2    9    1    7    2    7    4    10   5    10   2    9    2    
Vardas124      Pavarde124          1    4    7    3    9    2    7    8    3    10   4    10   7    10   6    3    
Vardas125      Pavarde125          3    1    8    2    3    9    8    5    8    3    5    3    3    7    6    5    
Vardas126      Pavarde126          9    6    5    5    9    3    4    9    9    10   6    7    5    1    10   3    
Vardas127      Pavarde127          2    10   2    10   9    7    4    8    10   1    6    9    4    7    1    8    
Vardas128      Pavarde128          8    7    7    8    5    9    1    7    4    10   2    6    1    3    5    8    
Vardas129      Pavarde129          6    2    4    8    4    9    10   7    8    6    3    10   1    1    6    10   
Vardas130      Pavarde130          10   8    2    1    8    10   10   5    10   8    6    4    6    5    3    8    
Vardas131      Pavarde131          4    5    2    8    7    8    10   10   1    10   4    2    7    1    10   9    
Vardas132      Pavarde132          1    8    2    9    6    8    2    7    8    1    10   9    9    3    1    2    
Vardas133      Pavarde133          1    8    1    6    7    7    9    8    4    10   3    3    2    1    3    5    
Vardas134      Pavarde134          2    9    8    3    8    1    4    3    4    2    2    9    1    10   7    5    
Vardas135      Pavarde135          10   2    3    1    1    9    9    10   3    5    6    2    1    10   5    4    
Vardas136      Pavarde136          7    10   9    4    1    7    10   10   3    9    6    3    8    9    1    5    
Vardas137      Pavarde137          10   3    8    10   4    5    8    10   7    10   5    9    3    9    6    7    
Vardas138      Pavarde138          5    8    5    5    6    6    6    8    6    3    4    7    9    10   3    4    
Vardas139      Pavarde139          10   8    4    9    5    7    2    8    6    3    1    8    3    1    4    9    
Vardas140      Pavarde140          9    4    8    6    3    6    10   5    2    2    6    2    7    8    9    4    
Vardas141      Pavarde141          4    8    3    8    3    7    3    7    7    1    8    2    8    3    9    4    
Vardas142      Pavarde142          6    2    2    5    6    5    6    2    10   7    3    6    7    10   7    6    
Vardas143      Pavarde143          3    7    7    1    8    6    9    7    4    1    9    9    2    5    1    10   
Vardas144      Pavarde144          7    2    5    9    5    9    1    9    2    1    9    9    4    8    1    3    
Vardas145      Pavarde145          9    10   10   1    7    1    5    4    6    3    7    9    8    5    9    7    
Vardas146      Pavarde146          7    1    2    6    2    1    10   4    9    8    10   2    1    5    2    8    
Vardas147      Pavarde147          10   8    9    3    5    5    3    5    4    6    2    3    8    2    9    4    
Vardas148      Pavarde148          5    6    10   8    10   4    1    8    1    9    8    5    1    7    4    4    
Vardas149      Pavarde149          5    9    6    7    9    4    10   10   2    4    4    9    5    1    4    3    
Vardas150      Pavarde150          3    10   3    10   1    9    7    5    4    5    9    6    3    3    3    4    
Vardas151      Pavarde151          9    2    4    3    2    6    3    5    3    9    4    8    1    4    5    4    
Vardas152      Pavarde152          10   1    2    3    10   10   6    10   9    8    5    8    8    6    3    1    
Vardas153      Pavarde153          4    9    3    1    9    5    10   1    7    4    3    2    1    4    10   2    
Vardas154      Pavarde154          5    10   1    7    5    6    8    9    3    9    2    2    8    8    8    2    
Vardas155      Pavarde155          10   9    4    9    5    9    3    6    7    7    9    1    10   4    1    3    
Vardas156      Pavarde156          5    3    10   7    8    3    5    2    8    3    1    8    8    8    4    6    
Vardas157      Pavarde157          8    5    7    10   8    2    2    9    1    10   5    8    2    8    8    2    
Vardas158      Pavarde158          7    7    3    2    2    1    9    2    2    6    8    8    7    7    3    3    
Vardas159      Pavarde159          6    1    4    1    1    10   1    10   6    5    1    5    4    3    1    9    
Vardas160      Pavarde160          8    1    2    3    4    2    7    9    10   3    7    6    2    5    1    3    
Vardas161      Pavarde161          1    2    4    6    4    5    7    9    5    7    5    3    2    8    1    10   
Vardas162      Pavarde162          3    7    10   6    8    5    9    8    9    4    8    2    6    2    3    4    
Vardas163      Pavarde163          1    10   9    3    7    3    4    7    7    9    9    4    3    5    6    6    
Vardas164      Pavarde164          5    2    7    4    6    2    6    1    3    6    7    9    6    4    3    1    
Vardas165      Pavarde165          2    8    8    7    5    3    2    2    5    6    3    2    9    8    8    1    
Vardas166      Pavarde166          7    2    6    7    3    9    9    2    1    6    8    10   3    1    10   1    
Vardas167      Pavarde167          9    5    2    8    7    6    9    8    10   8    5    10   5    8    1    4    
Vardas168      Pavarde168          3    2    2    1    1    3    2    2    8    10   1    1    4    3    5    6    
Vardas169      Pavarde169          7    1    3    8    1    5    7    4    7    3    5    2    2    2    3    7    
Vardas170      Pavarde170          2    1    1    1    7    1    5    9    3    7    10   10   8    2    6    8    
Vardas171      Pavarde171          8    7    5    8    9    6    10   3    10   4    7    10   3    7    8    6    
Vardas172      Pavarde172          5    9    9    7    6    1    4    3    9    9    2    7    7    8    9    9    
Vardas173      Pavarde173          4    10   4    4    8    7    10   6    10   2    4    9    5    6    6    10   
Vardas174      Pavarde174          3    3    6    7    3    4    1    1    4    3    3    1    8    7    9    8    
Vardas175      Pavarde175          8    10   10   5    10   5    3    4    6    9    8    3    2    3    7    1    
Vardas176      Pavarde176          1    8    2    8    7    3    9    7    2    6    8    9    4    1    8    5    
Vardas177      Pavarde177          10   4    7    9    8    1    9    2    3    4    3    6    9    2    3    9    
Vardas178      Pavarde178          10   8    1    8    5    6    5    5    6    10   4    7    10   2    5    2    
Vardas179      Pavarde179          9    1    9    6    2    3    6    1    6    6    9    5    4    6    7    3    
Vardas180      Pavarde180          3    2    3    9    4    7    1    2    10   6    7    9    7    8    10   2    
Vardas181      Pavarde181          2    1    7    1    8    4    7    4    6    7    2    6    4    8    3    2    
Vardas182      Pavarde182          8    7    9    6    10   5    10   3    9    3    3    9    7    4    2    10   
Vardas183      Pavarde183          10   3    5    10   8    5    8    6    8    4    8    10   7    10   8    1    
Vardas184      Pavarde184          10   1    1    9    4    1    2    6    8    7    5    5    7    7    7    6    
Vardas185      Pavarde185          8    10   7    5    6    3    9    7    10   2    7    7    4    3    1    7    
Vardas186      Pavarde186          2    6    9    1    3    4    3    3    10   5    2    10   9    6    3    8    
Vardas187      Pavarde187          2    4    1    1    9    8    2    7    7    5    8    1    2    6    9    7    
Vardas188      Pavarde188          5    5    3    10   6    3    9    6    8    8    8    3    10   5    10   7    
Vardas189      Pavarde189          5    9    3    6    2    10   5    4    6    6    9    9    3    5    3    8    
Vardas190      Pavarde190          4    9    5    4    6    4    8    7    5    4    6    2    2    8    2    1    
Vardas191      Pavarde191          3    8    7    2    4    6    5    7    6    2    7    9    8    7    9    3    
Vardas192      Pavarde192          8    3    5    8    4    7    7    6    6    5    4    9    4    2    8    2    
Vardas193      Pavarde193          7    4    1    8    7    3    3    7    4    1    2    6    7    9    10   5    
Vardas194      Pavarde194          6    1    3    10   7    9    10   1    9    4    8    7    9    10   10   8    
Vardas195      Pavarde195          3    6    9    8    6    8    3    4    9    5    5    2    3    3    8    10   
Vardas196      Pavarde196          9    9    2    4    8    5    8    7    7    6    8    10   4    4    5    8    
Vardas197      Pavarde197          8    8    4    9    6    9    4    10   4    1    10   9    2    5    4    6    
Vardas198      Pavarde198          6    7    2    9    10   5    4    7    9    2    4    6    10   3    2    7    
Vardas199      Pavarde199          5    6    4    6    6    9    4    3    6    6    8    8    7    4    6    9    
Vardas200      Pavarde200          1    4    8    6    3    2    6    4    2    1    8    6    5    4    9    3    
Vardas201      Pavarde201          9    4    6    10   9    6    7    7    6    9    7    9    9    1    5    2    
Vardas202      Pavarde202          3    2    5    1    2    9    8    2    5    9    6    6    4    9    8    10   
Vardas203      Pavarde203          3    10   1    7    7    5    3    1    2    6    10   8    9    9    3    3    
Vardas204      Pavarde204          3    1    3    6    10   6    10   5    7    2    1    5    4    3    5    8    
Vardas205      Pavarde205          1    6    7    4    5    7    8    10   1    3    1    4    2    3    3    10   
Vardas206      Pavarde206          2    10   8    1    4    4    2    6    7    5    1    3    8    5    8    8    
Vardas207      Pavarde207          2    4    8    6    5    2    6    2    8    8    5    9    10   1    9    1    
Vardas208      Pavarde208          7    7    5    10   5    4    7    4    6    5    3    10   2    5    8    4    
Vardas209      Pavarde209          9    6    5    7    4    7    10   3    10   1    8    9    8    9    8    10   
Vardas210      Pavarde210          5    5    1    8    4    4    6    2    10   2    10   5    10   6    9    8    
Vardas211      Pavarde211          7    10   8    3    8    6    2    2    8    2    2    7    10   8    8    4    
Vardas212      Pavarde212          5    5    4    8    6    5    5    4    4    1    3    8    2    3    2    3    
Vardas213      Pavarde213          1    9    10   3    2    6    7    7    9    5    3    3    3    9    2    8    
Vardas214      Pavarde214          1    1    5    4    7    5    1    4    2    9    1    1    10   8    7    2    
Vardas215      Pavarde215          2    4    3    5    3    4    6    8    4    10   3    6    5    10   8    7    
Vardas216      Pavarde216          6    6    6    10   8    3    2    4    2    2    4    1    3    9    7    9    
Vardas217      Pavarde217          3    10   4    1    1    2    3    10   5    1    7    8    9    4    10   7    
Vardas218      Pavarde218          7    7    1    2    8    2    8    6    5    5    5    3    3    5    4    10   
Vardas219      Pavarde219          3    7    7    10   3    3    2    5    1    4    6    9    6    8    2    8    
Vardas220      Pavarde220          3    1    2    3    2    8    7    7    6    3    3    7    5    9    7    5    
Vardas221      Pavarde221          3    7    4    1    7    4    4    10   4    7    10   2    6    2    2    1    
Vardas222      Pavarde222          9    2    9    2    9    10   6    6    5    2    8    3    9    6    6    4    
Vardas223      Pavarde223          5    9    1    5    6    7    2    7    10   4    6    9    4    5    5    10   
Vardas224      Pavarde224          4    2    8    1    4    7    7    8    3    4    1    7    1    4    6    5    
Vardas225      Pavarde225          10   10   2    4    10   1    10   4    8    6    10   1    4    2    10   7    
Vardas226      Pavarde226          9    4    1    6    10   5    3    2    8    10   2    9    7    2    1    8    
Vardas227      Pavarde227          1    1    10   8    8    3    7    2    5    4    8    2    5    1    1    3    
Vardas228      Pavarde228          4    3    9    7    1    8    6    4    1    9    9    10   9    9    2    7    
Vardas229      Pavarde229          1    6    7    1    9    3    9    1    7    4    8    2    1    4    7    4    
Vardas230      Pavarde230          4    6    2    7    10   10   5    6    8    10   6    5    4    3    9    10   
Vardas231      Pavarde231          5    4    2    1    8    7    6    4    6    3    6    6    3    10   4    9    
Vardas232      Pavarde232          9    5    5    6    9    7    6    2    10   2    9    6    1    3    10   9    
Vardas233      Pavarde233          8    4    10   1    2    4    10   1    1    2    6    8    2    6    4    8    
Vardas234      Pavarde234          4    4    5    6    1    1    5    5    6    1    9    9    7    1    9    2    
Vardas235      Pavarde235          5    8    1    5    8    7    3    2    10   3    9    2    3    3    9    9    
Vardas236      Pavarde236          5    1    10   10   2    4    4    10   9    3    6    6    8    2    4    7    
Vardas237      Pavarde237          5    1    9    5    7    9    1    10   10   5    9    9    5    10   5    1    
Vardas238      Pavarde238          5    10   10   3    1    2    9    9    6    1    9    10   7    5    7    3    
Vardas239      Pavarde239          4    5    1    5    7    7    10   7    6    6    9    7    8    1    1    6    
Vardas240      Pavarde240          9    1    2    5    9    3    7    2    5    8    5    8    1    8    4    1    
Vardas241      Pavarde241          5    6    6    4    7    1    4    5    5    7    10   8    7    4    9    2    
Vardas242      Pavarde242          7    3    9    4    2    8    4    8    7    6    6    2    9    7    2    6    
Vardas243      Pavarde243          6    5    4    2    10   5    8    10   10   5    4    9    4    8    4    10   
Vardas244      Pavarde244          4    9    7    7    5    4    3    9    2    8    4    2    8    5    3    10   
Vardas245      Pavarde245          9    2    8    9    5    2    6    9    4    4    9    4    4    6    1    10   
Vardas246      Pavarde246          8    6    1    4    2    6    2    5    10   1    9    8    4    5    3    5    
Vardas247      Pavarde247          5    9    10   10   5    5    3    1    2    7    10   8    1    2    4    4    
Vardas248      Pavarde248          10   8    7    7    10   4    8    6    4    3    9    10   2    6    6    6    
Vardas249      Pavarde249          9    10   8    8    5    10   6    6    2    9    2    9    4    7    1    1    
Vardas250      Pavarde250          8    2    3    2    1    10   1    3    9    9    1    1    8    5    8    7    
Vardas251      Pavarde251          9    8    6    3    4    6    5    10   9    10   9    1    2    10   4    4    
Vardas252      Pavarde252          9    6    9    10   8    9    1    9    3    2    8    8    3    4    1    2    
Vardas253      Pavarde253          6    4    2    3    2    4    2    7    5    5    10   1    1    5    1    5    
Vardas254      Pavarde254          2    5    9    5    2    2    5    6    4    10   4    7    1    1    3    4    
Vardas255      Pavarde255          8    6    8    9    10   10   2    10   8    10   7    7    4    9    8    8    
Vardas256      Pavarde256          10   2    1    1    4    8    1    6    7    1    8    8    1    1    2    10   
Vardas257      Pavarde257          6    7    4    5    5    3    5    6    7    4    6    6    7    1    5    3    
Vardas258      Pavarde258          10   3    5    4    1    2    10   1    6    4    4    6    8    7    1    6    
Vardas259      Pavarde259          2    8    4    9    2    10   4    9    5    2    5    6    3    3    3    4    
Vardas260      Pavarde260          8    1    4    4    7    10   4    4    6    8    2    1    9    1    8    4    
Vardas261      Pavarde261          7    3    10   3    4    3    3    5    6    4    6    1    4    2    4    1    
Vardas262      Pavarde262          3    6    8    4    3    10   8    9    9    10   4    7    1    2    6    4    
Vardas263      Pavarde263          2    9    1    8    4    2    3    2    4    5    1    4    5    4    10   4    
Vardas264      Pavarde264          9    9    2    3    9    7    6    10   9    5    3    5    6    7    10   8    
Vardas265      Pavarde265          5    6    3    9    9    6    4    1    2    7    10   1    3    10   1    10   
Vardas266      Pavarde266          7    5    3    4    3    6    8    8    1    1    1    3    7    1    8    5    
Vardas267      Pavarde267          5    7    8    4    4    2    2    6    6    1    5    2    5    3    7    8    
Vardas268      Pavarde268          9    6    9    3    6    3    10   10   4    2    3    8    1    4    8    2    
Vardas269      Pavarde269          8    9    2    1    6    9    7    5    5    8    1    4    6    1    4    9    
Vardas270      Pavarde270          10   9    8    8    5    9    2    10   8    3    5    4    3    8    7    3    
Vardas271      Pavarde271          3    8    1    8    5    1    10   3    3    3    2    7    1    3    6    1    
Vardas272      Pavarde272          3    9    1    4    10   10   9    2    9    3    10   5    7    10   4    8    
Vardas273      Pavarde273          2    5    8    2    6    1    3    9    10   10   4    1    6    7    10   3    
Vardas274      Pavarde274          2    4    9    7    3    1    1    1    8    10   4    4    7    7    7    4    
Vardas275      Pavarde275          4    7    8    4    8    10   1    1    2    1    7    7    8    4    4    9    
Vardas276      Pavarde276          8    3    6    7    9    9    1    3    5    3    1    1    3    4    7    1    
Vardas277      Pavarde277          8    8    7    10   6    2    8    9    9    10   9    5    3    7    9    7    
Vardas278      Pavarde278          1    7    9    9    5    10   1    4    5    1    1    6    9    9    10   3    
Vardas279      Pavarde279          9    6    6    2    5    8    5    4    2    7    4    4    1    8    4    8    
Vardas280      Pavarde280          10   6    4    9    1    5    6    10   1    10   4    8    2    4    4    3    
Vardas281      Pavarde281          8    10   3    10   6    8    4    6    10   6    2    6    9    2    3    4    
Vardas282      Pavarde282          5    10   9    10   4    5    6    6    8    9    9    2    4    4    5    7    
Vardas283      Pavarde283          6    9    2    10   6    7    3    3    7    4    2    1    10   10   10   7    
Vardas284      Pavarde284          3    6    4    10   4    9    1    9    7    3    2    6    2    6    5    5    
Vardas285      Pavarde285          2    6    3    5    5    10   9    3    10   8    4    4    10   6    4    9    
Vardas286      Pavarde286          3    9    1    1    7    9    6    7    1    8    4    2    4    3    6    6    
Vardas287      Pavarde287          6    6    4    6    4    9    5    7    7    1    1    3    5    9    8    9    
Vardas288      Pavarde288          6    10   2    10   5    3    1    8    1    8    5    4    6    4    1    2    
Vardas289      Pavarde289          7    9    9    3    1    4    1    5    10   5    1    1    2    4    4    4    
Vardas290      Pavarde290          3    8    1    3    7    10   7    8    3    2    10   2    3    5    6    10   
Vardas291      Pavarde291          10   5    9    6    7    4    8    9    1    1    3    2    7    7    3    2    
Vardas292      Pavarde292          2    3    8    7    3    9    8    4    2    3    7    1    2    8    6    4    
Vardas293      Pavarde293          10   9    10   8    2    3    8    3    8    5    1    8    3    1    5    1    
Vardas294      Pavarde294          2    1    10   8    8    8    5    7    9    2    1    2    5    2    10   10   
Vardas295      Pavarde295          6    10   5    1    10   5    7    5    6    3    10   2    1    4    6    3    
Vardas296      Pavarde296          1    5    3    2    4    4    6    4    7    8    10   9    4    2    6    5    
Vardas297      Pavarde297          7    6    7    5    9    2    1    4    1    9    2    6    8    9    2    1    
Vardas298      Pavarde298          3    6    9    6    10   4    5    2    9    9    1    4    2    4    6    5    
Vardas299      Pavarde299          2    10   8    5    4    1    8    1    9    4    8    8    1    7    7    6    
Vardas300      Pavarde300          5    2    2    10   5    2    6    4    10   7    4    5    9    9    4    7    
Vardas301      Pavarde301          9    9    6    1    9    3    6    7    10   4    2    7    5    4    1    1    
